,Unnamed: 0,amount,change,close,high,low,open,pct_chg,pre_close,trade_date,ts_code,vol
43,43.0,952538.936,0.14000000000000054,9.66,10.11,9.52,10.0,1.4706,9.52,20200120,600812.SH,971271.88
44,44.0,647158.312,0.1399999999999988,9.52,9.55,9.08,9.26,1.4925,9.38,20200117,600812.SH,690561.62
45,45.0,653965.2220000001,0.22000000000000064,9.38,9.56,9.04,9.2,2.4017,9.16,20200116,600812.SH,698841.78
46,46.0,540064.886,-0.2599999999999998,9.16,9.48,8.97,9.29,-2.7601,9.42,20200115,600812.SH,586216.62
47,47.0,825144.2679999999,0.7200000000000006,9.42,9.56,8.61,8.75,8.2759,8.7,20200114,600812.SH,904523.62
48,48.0,153482.025,0.03999999999999915,8.7,8.77,8.65,8.66,0.4619,8.66,20200113,600812.SH,176655.03
49,49.0,180794.208,-0.09999999999999963,8.66,8.83,8.64,8.78,-1.1416,8.76,20200110,600812.SH,208159.5
50,50.0,235898.926,0.10999999999999943,8.76,8.84,8.7,8.73,1.2717,8.65,20200109,600812.SH,269558.91
51,51.0,327537.185,-0.3100000000000005,8.65,8.88,8.6,8.83,-3.4598,8.96,20200108,600812.SH,375256.07
52,52.0,261136.385,0.0600000000000005,8.96,9.06,8.81,8.9,0.6742,8.9,20200107,600812.SH,292111.27
53,53.0,400240.755,-0.20999999999999908,8.9,9.12,8.71,8.88,-2.3052,9.11,20200106,600812.SH,448854.47
54,54.0,544265.457,-0.4000000000000004,9.11,9.45,9.06,9.4,-4.2061,9.51,20200103,600812.SH,591846.12
55,55.0,770586.663,-0.3300000000000001,9.51,9.76,9.27,9.6,-3.3537,9.84,20200102,600812.SH,812922.96
56,56.0,1019671.465,0.5600000000000005,9.84,10.0,9.03,9.08,6.0345,9.28,20191231,600812.SH,1051842.64
57,57.0,606577.818,0.05999999999999873,9.28,9.28,8.3,9.14,0.6508,9.22,20191230,600812.SH,682735.58
58,58.0,702758.047,0.33999999999999986,9.22,9.32,8.87,8.89,3.8288,8.88,20191227,600812.SH,772368.57
59,59.0,445181.48,0.12000000000000098,8.88,9.04,8.67,8.8,1.3699,8.76,20191226,600812.SH,502965.37
60,60.0,490567.768,0.16000000000000014,8.76,8.95,8.52,8.61,1.8605,8.6,20191225,600812.SH,559893.22
61,61.0,251589.112,0.129999999999999,8.6,8.64,8.41,8.51,1.5348,8.47,20191224,600812.SH,294875.82
62,62.0,597390.157,-0.7599999999999998,8.47,9.15,8.31,9.15,-8.234,9.23,20191223,600812.SH,695814.59
