,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
70,603032.SH,20191211,22.62,23.67,22.62,22.8,22.41,0.39000000000000057,1.7403,42183.24,97142.233
71,603032.SH,20191210,22.49,22.59,22.32,22.41,22.56,-0.14999999999999858,-0.6649,15464.84,34661.477
72,603032.SH,20191209,22.61,22.68,22.42,22.56,22.57,-0.010000000000001563,-0.0443,15143.6,34134.976
73,603032.SH,20191206,22.36,22.68,22.36,22.57,22.55,0.019999999999999574,0.0887,14414.4,32502.53
74,603032.SH,20191205,22.49,22.67,22.41,22.55,22.5,0.05000000000000071,0.2222,17554.64,39567.226
75,603032.SH,20191204,22.4,22.65,22.26,22.5,22.66,-0.16000000000000014,-0.7061,16055.04,36033.316
76,603032.SH,20191203,22.05,24.03,21.9,22.66,22.11,0.5500000000000007,2.4876,34436.17,78703.041
77,603032.SH,20191202,22.35,22.35,22.08,22.11,22.2,-0.08999999999999986,-0.4054,10951.64,24300.76
78,603032.SH,20191129,22.3,22.53,22.06,22.2,22.5,-0.3000000000000007,-1.3333,14225.0,31572.627
79,603032.SH,20191128,22.26,22.66,22.15,22.5,22.1,0.3999999999999986,1.81,22663.82,50883.562
80,603032.SH,20191127,22.35,22.38,22.04,22.1,22.28,-0.17999999999999972,-0.8079,13780.0,30533.378
81,603032.SH,20191126,22.41,22.68,22.26,22.28,22.41,-0.129999999999999,-0.5801,13970.2,31275.308
82,603032.SH,20191125,22.61,22.88,22.25,22.41,22.75,-0.33999999999999986,-1.4945,15992.2,35966.513
83,603032.SH,20191122,23.0,23.2,22.52,22.75,22.9,-0.14999999999999858,-0.655,23855.2,54624.859
84,603032.SH,20191121,22.5,23.0,22.43,22.9,22.57,0.3299999999999983,1.4621,18774.16,42790.874
85,603032.SH,20191120,22.88,23.2,22.57,22.57,22.9,-0.3299999999999983,-1.441,19156.19,43575.325
86,603032.SH,20191119,22.57,22.98,22.51,22.9,22.57,0.3299999999999983,1.4621,24720.24,56306.62
87,603032.SH,20191118,22.36,22.62,22.3,22.57,22.48,0.08999999999999986,0.4004,15674.76,35251.099
88,603032.SH,20191115,22.87,23.0,22.41,22.48,23.14,-0.6600000000000001,-2.8522,26477.46,59810.619
89,603032.SH,20191114,23.3,23.68,22.92,23.14,23.07,0.07000000000000028,0.3034,29594.68,69081.656
90,603032.SH,20191113,23.51,23.77,22.84,23.07,23.51,-0.4400000000000013,-1.8715,31309.33,72927.753
91,603032.SH,20191112,22.28,24.0,22.18,23.51,22.17,1.3399999999999999,6.0442,46596.14,107829.493
92,603032.SH,20191111,23.04,23.07,22.01,22.17,23.21,-1.0399999999999991,-4.4808,26322.39,59196.591
93,603032.SH,20191108,23.43,23.47,23.2,23.21,23.18,0.030000000000001137,0.1294,16199.2,37731.251
94,603032.SH,20191107,23.04,23.4,23.03,23.18,23.25,-0.07000000000000028,-0.3011,17830.21,41267.423
95,603032.SH,20191106,23.24,23.69,23.05,23.25,23.19,0.05999999999999872,0.2587,24500.0,57307.975
96,603032.SH,20191105,23.02,23.29,22.91,23.19,23.02,0.1700000000000017,0.7385,19132.6,44209.811
97,603032.SH,20191104,23.26,23.41,23.02,23.02,23.26,-0.240000000000002,-1.0318,23575.6,54689.035
98,603032.SH,20191101,23.19,23.39,22.66,23.26,23.18,0.08000000000000185,0.3451,30396.69,69668.276
99,603032.SH,20191031,24.1,24.13,23.1,23.18,24.03,-0.8500000000000014,-3.5372,27843.84,65475.226
100,603032.SH,20191030,23.87,24.47,23.62,24.03,23.92,0.10999999999999943,0.4599,18768.49,45140.772
101,603032.SH,20191029,24.64,24.64,23.79,23.92,24.78,-0.8599999999999994,-3.4705,38079.38,92099.007
102,603032.SH,20191028,24.43,24.84,24.3,24.78,24.58,0.20000000000000284,0.8137,25412.46,62730.778
103,603032.SH,20191025,24.55,24.88,24.32,24.58,24.45,0.129999999999999,0.5317,19620.34,48165.172
104,603032.SH,20191024,24.41,24.93,24.3,24.45,24.47,-0.019999999999999574,-0.0817,22133.14,54453.575
105,603032.SH,20191023,24.56,24.73,24.16,24.47,24.56,-0.08999999999999986,-0.3664,21813.76,53318.623
106,603032.SH,20191022,24.7,24.85,24.31,24.56,24.58,-0.019999999999999574,-0.0814,17946.04,44030.549
107,603032.SH,20191021,24.4,24.85,24.11,24.58,24.68,-0.10000000000000142,-0.4052,21419.32,52452.606
108,603032.SH,20191018,25.02,25.44,24.65,24.68,25.34,-0.6600000000000001,-2.6046,27189.0,67754.379
109,603032.SH,20191017,25.6,26.21,25.13,25.34,25.6,-0.26000000000000156,-1.0156,35366.37,90784.88
110,603032.SH,20191016,26.2,26.48,25.6,25.6,26.59,-0.9899999999999984,-3.7232,46069.31,120109.944
111,603032.SH,20191015,25.47,26.7,24.68,26.59,25.66,0.9299999999999997,3.6243,63375.6,161723.982
112,603032.SH,20191014,25.85,26.0,25.5,25.66,25.45,0.21000000000000085,0.8251,35879.0,92214.167
113,603032.SH,20191011,25.24,25.6,24.9,25.45,25.26,0.18999999999999773,0.7522,38547.92,97575.605
114,603032.SH,20191010,24.98,25.61,24.92,25.26,24.98,0.28000000000000114,1.1209,31095.73,78773.574
115,603032.SH,20191009,24.3,24.98,24.11,24.98,24.58,0.40000000000000213,1.6273,24426.38,60509.12
116,603032.SH,20191008,24.66,25.07,24.51,24.58,24.51,0.06999999999999673,0.2856,21175.52,52449.429
117,603032.SH,20190930,25.0,25.71,24.51,24.51,25.28,-0.7699999999999996,-3.0459,29824.38,74389.274
118,603032.SH,20190927,25.36,25.8,24.09,25.28,25.67,-0.39000000000000057,-1.5193,43960.65,110515.572
119,603032.SH,20190926,25.3,26.1,25.28,25.67,25.15,0.5200000000000031,2.0676,65650.76,168905.77
120,603032.SH,20190925,26.03,26.2,25.11,25.15,26.21,-1.0600000000000023,-4.0443,53605.17,136332.851
121,603032.SH,20190924,26.99,27.2,26.02,26.21,26.99,-0.7799999999999976,-2.89,76642.39,202006.911
122,603032.SH,20190923,27.52,28.78,26.9,26.99,28.1,-1.110000000000003,-3.9502,95462.44,265043.688
123,603032.SH,20190920,28.77,30.2,28.06,28.1,27.54,0.5600000000000023,2.0334,150258.74,435966.979
124,603032.SH,20190919,27.07,27.85,27.07,27.54,27.49,0.05000000000000071,0.1819,65720.13,180921.908
125,603032.SH,20190918,26.42,27.98,26.42,27.49,26.36,1.129999999999999,4.2868,86961.55,237245.723
126,603032.SH,20190917,27.08,27.15,26.11,26.36,27.22,-0.8599999999999994,-3.1594,51420.11,136586.792
127,603032.SH,20190916,27.3,27.76,27.03,27.22,27.35,-0.13000000000000256,-0.4753,46156.59,126016.113
128,603032.SH,20190912,28.02,28.02,27.19,27.35,27.68,-0.3299999999999983,-1.1922,57248.78,157962.38
129,603032.SH,20190911,27.23,28.21,27.02,27.68,27.47,0.21000000000000085,0.7645,72393.99,200023.755
130,603032.SH,20190910,27.4,28.16,27.02,27.47,27.25,0.21999999999999886,0.8073,108604.93,301009.61
131,603032.SH,20190909,27.15,27.26,26.7,27.25,26.99,0.26000000000000156,0.9633,81578.18,220854.175
132,603032.SH,20190906,27.7,28.01,26.69,26.99,28.1,-1.110000000000003,-3.9502,135369.55,369358.483
133,603032.SH,20190905,30.38,30.56,28.0,28.1,29.19,-1.0899999999999999,-3.7342,237120.11,691646.198
134,603032.SH,20190904,27.15,29.19,26.66,29.19,26.54,2.650000000000002,9.9849,232392.21,653289.344
135,603032.SH,20190903,24.36,26.54,24.36,26.54,24.13,2.41,9.9876,72473.12,188878.201
136,603032.SH,20190902,23.82,24.27,23.81,24.13,23.82,0.3099999999999987,1.3014,25640.85,61840.751
137,603032.SH,20190830,24.56,24.66,23.58,23.82,24.4,-0.5799999999999983,-2.377,40895.43,98495.168
138,603032.SH,20190829,25.05,25.34,24.3,24.4,24.98,-0.5800000000000018,-2.3219,44582.36,109755.572
139,603032.SH,20190828,24.74,25.49,24.74,24.98,24.72,0.26000000000000156,1.0518,47821.21,119953.038
140,603032.SH,20190827,24.81,25.16,24.58,24.72,24.49,0.23000000000000043,0.9392,41244.26,102357.885
141,603032.SH,20190826,24.45,24.99,24.3,24.49,25.16,-0.6700000000000017,-2.663,37223.67,91702.103
142,603032.SH,20190823,25.63,25.63,25.01,25.16,25.68,-0.5199999999999996,-2.0249,48921.69,123285.288
143,603032.SH,20190822,25.98,26.25,25.08,25.68,26.05,-0.370000000000001,-1.4203,76640.15,195996.191
144,603032.SH,20190821,24.99,26.47,24.66,26.05,25.12,0.9299999999999997,3.7022,132061.54,342451.544
145,603032.SH,20190820,24.71,25.8,24.42,25.12,25.12,0.0,0.0,90970.97,228198.418
